entity_id,name_en,name_ru,name_ar,name_zh,name_ja,name_he,name_hi,name_el,name_ko
Q100066332,Anna Torterolo,,,,アンナ トルテローロ,,,,안나 토르테롤로
Q100066410,Émile Louis Perey,,,,,,,,
Q1000665,Lukas Grauwiler,,,,,,,,
Q1000667,László Farnady,,,,,,,,
Q100066869,Francesco Pezzoli,,,,,,,,
Q1000669,Fernand Meese,,,,,,,,
Q100066942,Francesco Pezzoli,,,,,,,,
Q100067390,Anne Jeanne Ruissel,,,,,,,,
Q1000674,Fernando G. Alvarez,,,,,,,,
Q1000675,Herbert Sklenka,,,,,,,,
Q100067796,Cesare Paloschi,,,,,,,,
Q1000678,Randy McKay,,راندي مكاي,,,,,,
Q100067841,Ottorino Gentilucci,,,,,,,,
Q1000680,Kurt E. Koch,,كورت إي. كوخ,,,,,,
Q100068177,John Aylward,,,,,,,,
Q1000682,Fernando Carrillo,Фернандо Каррильо,فيرناندو كاريو,费尔南多·卡里略,,פרננדו קארילו,,Φερνάντο Καρρίγιο,
Q100068291,Olivier Devillers,,,,,,,,
Q1000687,Karl Otto Henseling,,,,,,,,
Q100068781,Thomas Baker,,,,,,,,
Q1000688,Fernando Santos Leite,,,,,,,,
Q1000690,Leon Koudine,Леонид Кудин,,,,,,,
Q1000693,Fernando Tamayo,,,,,,,,
Q100069392,Fabrizio Meloni,,,,,,,,
Q1000696,Gustav Mucke,,,,,,,,
Q1000698,Günther Jahn,Гюнтер Ян,,,,,,,
Q100069975,Raffaele Mingardo,,,,,,,,
Q100069983,James Baker,,,,,,,,
Q10007,Zhengde Emperor,Чжу Хоучжао,الإمبراطور تشنغده,明武宗,正徳帝,,,,정덕제
Q100070570,Giuseppe Alessandri,,,,,,,,
Q100070737,Alberto Montanari,,,,,,,,
Q100070905,Ahmad ibn Habib al-Dandan,,أحمد بن حبيب الدندن,,,,,,
Q100071,Kikkan Randall,Киккан Рэндалл,,基克肯·蓝道尔,キッカン・ランドール,,,,키컨 랜들
Q1000710,Zsigmond Ferrarius,,,,,,,,
Q1000711,Eberhard,Эберхард,,,,,,,
Q100071181,Elfriede Colshorn,,,,,,,,
Q1000713,Carlos Matos,Карлуш Ферейра де Матуш,,,,,,,
Q1000714,Rudolph von Holzschuher,,,,,,,,
Q1000716,Charles Baud,,,,,,,,
Q1000718,Günther Alster,,,,,,,,
Q1000721,Budd Porter,,,,,,,,
Q100072420,Franck Barcellini,Франк Барчеллини,,弗兰克·巴切里尼,フランク・バルセリーニ,,,,
Q1000727,Ruslan Galitsky,Руслан Викторович Галицкий,,,,,,,
Q1000729,José Maria Ferreira de Castro,Жозе Мария Феррейра ди Каштру,فيريرا دي كاسترو,,,,,,
Q100073,Leberecht Migge,,,莱贝雷希特·米格,レベレヒト・ミッゲ,לברכט מיגה,,,
Q1000731,Dirk Andries Flentrop,,,,,,,,
Q100073355,Francesco Colombo,,,,,,,,
Q1000734,Heinz Jankofsky,,,,,,,,
Q100073640,Filippo Vanduzzi,,,,,,,,
Q100073743,Giacomo Armani,,,,,,,,
Q100073794,Icilio Sadun,,,,,,,,
Q100074,Jessie Diggins,Джессика Диггинс,,杰西卡·迪金斯,ジェシー・ディギンズ,,,,제시 디긴스
Q100074313,Giovanni Zuccani,,,,,,,,
Q100074360,Edouard Aujay,,,,,,,,
Q1000744,Jürgen Koffler,,,,,,,,
Q1000748,Jona Mues,Йона Муес,,乔纳·缪斯,,,,,
Q100075,Liz Stephen,Элизабет Стивен,ليز ستيفن,,,,,,리즈 스티븐
Q1000755,Kristóf Fersius,,,,,,,,
Q100075553,Steve Asare Hackman,,,,,,,,
Q1000761,Nikolaos Makarezos,Николаос Макарезос,,尼可拉斯·馬卡瑞佐斯,ニコラオス・マカレゾス,,,Νικόλαος Μακαρέζος,
Q100076115,Linda Cannetti,,,,,,,,
Q100076708,Alessandro Piovesan,,,,,,,,
Q100076969,Luigi Caracciolo,,,,,,,,
Q100077028,Luigi Danesi,,,,,,,,
Q100077086,Ulisse Corticelli,,,,,,,,
Q100077151,Oreste Morandi,,,,,,,,
Q100077252,Luigi Farina,,,,,,,,
Q100077332,Gino Tani,,,,,,,,
Q100077371,Cardenio Botti,,,,,,,,
Q100077404,Gustavo Campanini,,,,,,,,
Q100077443,Enrico Contessa,,,,,,,,
Q100077502,Nestore Baronchelli,,,,,,,,
Q100077544,Mario Cordone,,,,,,,,
Q100077563,Alwine Denicke,,,,,,,,
Q100077655,Andrea D'Angeli,,,,,,,,
Q100077793,Ines De Frate,,,,,,,,
Q100077889,Carmelo Giacchino,,,,,,,,
Q1000788,Buddha Scheidegger,,,,,,,,
Q100079045,Dietger Ederhof,,,,,,,,
Q1000791,John Jenkins,Джон Дженкинс,جون جنكينز,約翰·詹金斯,ジョン・ジェンキンス,,,,존 젱킨스
Q100079302,Milan Piško,,,,,,,,
Q1000799,Herbert Greenfield,Герберт Гринфилд,هربرت غرينفيلد,,ハーバート・グリーンフィールド,,,,
Q1000800,Heinz Bierbaum,,هاينز بيرباوم,,,,,,
Q1000803,Hansjörg Wyss,,هانزورج ويس,,,,,,
Q1000805,Johannes Ising,,,,,,,,
Q1000807,László Sillai,Ласло Шиллаи,,,,,,,
Q1000808,Yaśas,,,耶舍,耶舎,,,,
Q1000815,Antal Fery,,,,,,,,
Q1000816,Oszkár Fery,,,,,,,,
Q1000820,Patrick Walsh,Патрик Уолш,باتريك والش,,,,,,
Q100082415,Adriana de Vecchi,,,,,,,,
Q100082630,Luis Gerardo Afán de Ribera y Nestares,,,,,,,,
Q100082643,Donald Campbell Johnstone,,,,,,,,
Q100083373,Marcelo Serpa,,,,,,,,
Q1000836,Buddhadeb Bhattacharjee,Буддхадеб Бхаттачарджи,,布达德夫·巴塔查尔吉,ブッダデーブ・バッターチャルジー,,बुद्धदेव भट्टाचार्य,,
Q1000841,Stephen A. Northway,,,,,,,,
Q100084469,Bernhard Gotto,,,,,,,,
Q1000848,Christian Poirot,,,,,,,,
Q1000860,Pyotr Buslov,Пётр Викторович Буслов,,彼得·布斯洛夫,,פיוטר בוסלוב,,,
Q100086110,Hermínia Massot Xatart,,,,,,,,
Q1000862,Paul Mathias Padua,,,,,,,,
Q1000874,"Thomas Montacute, 4th Earl of Salisbury","Томас Монтегю, 4-й граф Солсбери",,索爾茲伯利伯爵,トマス・モンタキュート,"תומאס מונטגיו, הרוזן הרביעי מסולסברי",,"Θωμάς Μόνταγκιου, 4ος κόμης του Σόλσμπερι",솔즈베리 백작 4세 토머스 몬터큐트
